dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,8;10,commercial buildings;highway,15,0.579453,0.024398,0.515631,0.018856,0.543827,0.026218,0.796594,0.009820,0.826193,0.009160,0.780116,0.010609,0.833848,0.006760,0.607246,0.062783,0.700897,0.038577,0.859756,0.005232,0.608038,0.063170,0.710530,0.040616,356.26,0.49
Houston,8;11,commercial buildings;railway,15,0.587484,0.021439,0.546700,0.028580,0.553254,0.023484,0.818570,0.010834,0.843494,0.009944,0.803924,0.011699,0.845351,0.011404,0.683008,0.009869,0.755541,0.009994,0.868236,0.010543,0.682673,0.009888,0.764323,0.009156,417.93,0.49
Houston,8;12,commercial buildings;the first kind of parking lot,15,0.576917,0.023495,0.530441,0.032331,0.541466,0.025930,0.776664,0.007326,0.808879,0.007610,0.758559,0.007898,0.852660,0.008620,0.391582,0.001824,0.536680,0.002868,0.873334,0.008682,0.389924,0.001816,0.539125,0.002773,422.82,0.49
Houston,8;13,commercial buildings;the second kind of parking lot,15,0.609699,0.027062,0.549278,0.030874,0.576673,0.029392,0.815011,0.003552,0.803146,0.003406,0.799715,0.003824,0.847390,0.004868,0.563223,0.008310,0.676620,0.004825,0.867057,0.004695,0.387722,0.005720,0.535790,0.004724,422.57,0.49
Houston,8;14,commercial buildings;tennis court,15,0.601205,0.015666,0.537147,0.014163,0.567444,0.016968,0.812067,0.005702,0.794000,0.003831,0.796513,0.006153,0.841930,0.007182,0.573409,0.009786,0.682105,0.005628,0.856882,0.004953,0.385267,0.006575,0.531493,0.005756,411.64,0.49
Houston,8;15,commercial buildings;running track,15,0.560673,0.033381,0.484938,0.043529,0.522739,0.036714,0.802747,0.008993,0.800953,0.007250,0.786518,0.009717,0.845177,0.010385,0.510288,0.004013,0.636326,0.003874,0.864084,0.008436,0.390601,0.003072,0.537982,0.003066,408.16,0.49
Houston,9;10,road;highway,15,0.601205,0.039355,0.556313,0.044065,0.568130,0.042620,0.775767,0.004855,0.809370,0.004405,0.757646,0.005216,0.863981,0.005453,0.329227,0.002327,0.476773,0.003123,0.882716,0.004749,0.332618,0.002351,0.483170,0.003145,422.72,0.49
Houston,9;11,road;railway,15,0.591787,0.039667,0.552131,0.053880,0.557830,0.043625,0.743308,0.003888,0.781615,0.003545,0.722656,0.004160,0.885371,0.004856,0.027096,0.009651,0.052388,0.018193,0.897722,0.003720,0.026913,0.009586,0.052073,0.018095,422.69,0.49
Houston,9;12,road;the first kind of parking lot,15,0.585872,0.018454,0.550725,0.028111,0.551930,0.019744,0.751142,0.008699,0.789635,0.009321,0.731240,0.009309,0.896390,0.010106,0.018136,0.005675,0.035485,0.010885,0.908349,0.010407,0.017998,0.005632,0.035233,0.010813,422.76,0.49
Houston,9;13,road;the second kind of parking lot,15,0.581850,0.033522,0.513554,0.036368,0.545863,0.036484,0.787877,0.005191,0.786618,0.003106,0.770571,0.005535,0.882352,0.005981,0.057283,0.005710,0.107518,0.010057,0.895112,0.004241,0.081405,0.021319,0.148439,0.035915,427.57,0.50
Houston,9;14,road;tennis court,15,0.590371,0.032192,0.523436,0.032591,0.555359,0.035140,0.784765,0.007606,0.771944,0.005741,0.767281,0.008200,0.880284,0.008386,0.025705,0.014989,0.049489,0.028080,0.887104,0.005922,0.023405,0.019223,0.044857,0.035592,422.19,0.49
Houston,9;15,road;running track,15,0.540336,0.051612,0.462165,0.056793,0.499907,0.056664,0.798556,0.005671,0.816392,0.003626,0.782355,0.006089,0.881163,0.008858,0.232048,0.025101,0.366538,0.031032,0.892588,0.007099,0.321118,0.030239,0.471367,0.032634,422.11,0.49
Houston,10;11,highway;railway,15,0.631282,0.032069,0.584712,0.048864,0.600745,0.034997,0.807372,0.007073,0.833872,0.007598,0.791852,0.007619,0.843547,0.007156,0.622754,0.011988,0.716475,0.009351,0.866330,0.008200,0.622899,0.011957,0.724652,0.009118,421.87,0.50
Houston,10;12,highway;the first kind of parking lot,15,0.624961,0.015073,0.563170,0.024728,0.593176,0.016897,0.765074,0.006330,0.799361,0.007762,0.746187,0.006823,0.849824,0.007498,0.332106,0.002443,0.477566,0.002923,0.871114,0.008871,0.332961,0.002449,0.481764,0.003148,422.23,0.50
Houston,10;13,highway;the second kind of parking lot,15,0.653231,0.015712,0.588276,0.011760,0.623801,0.016859,0.811661,0.010476,0.800309,0.011342,0.796130,0.011345,0.848009,0.006319,0.525839,0.086171,0.645309,0.059898,0.867534,0.007560,0.363348,0.059543,0.509565,0.055670,422.18,0.49
Houston,10;14,highway;tennis court,15,0.614029,0.014157,0.538982,0.016129,0.580882,0.015413,0.810007,0.011720,0.791865,0.010443,0.794281,0.012672,0.843704,0.007259,0.537619,0.090561,0.652676,0.061721,0.857923,0.007156,0.362489,0.061061,0.506834,0.056357,422.02,0.49
Houston,10;15,highway;running track,15,0.616104,0.022558,0.527998,0.025482,0.582749,0.024657,0.803728,0.010476,0.801026,0.006877,0.787604,0.011331,0.845761,0.008749,0.511049,0.095824,0.631672,0.071399,0.863792,0.009201,0.393047,0.073698,0.535913,0.066805,421.87,0.49
Houston,11;12,railway;the first kind of parking lot,15,0.574394,0.019354,0.514630,0.016002,0.538210,0.020985,0.811829,0.004236,0.837147,0.005635,0.796828,0.004560,0.869663,0.005984,0.517577,0.009681,0.648856,0.006697,0.886326,0.007164,0.517486,0.009685,0.653364,0.006862,422.33,0.49
Houston,11;13,railway;the second kind of parking lot,15,0.604779,0.024394,0.541029,0.032967,0.571197,0.026789,0.823125,0.004807,0.814489,0.003644,0.808806,0.005141,0.865175,0.003458,0.494314,0.028584,0.628686,0.023142,0.881102,0.005089,0.381506,0.026997,0.531844,0.025551,422.22,0.49
Houston,11;14,railway;tennis court,15,0.630273,0.015012,0.562318,0.011613,0.598942,0.016261,0.813735,0.008048,0.795884,0.005723,0.798621,0.008667,0.855898,0.006749,0.474858,0.020176,0.610647,0.018209,0.868340,0.005144,0.324923,0.017003,0.472655,0.018356,422.07,0.49
Houston,11;15,railway;running track,15,0.567470,0.029582,0.482805,0.028098,0.529778,0.032170,0.831100,0.007428,0.841400,0.004027,0.817571,0.007974,0.861957,0.008803,0.617333,0.010660,0.719331,0.007105,0.876036,0.006983,0.616269,0.019694,0.723273,0.011981,422.12,0.50
Houston,12;13,the first kind of parking lot;the second kind of parking lot,15,0.565312,0.045213,0.491936,0.058543,0.527628,0.050005,0.778248,0.009503,0.777660,0.009917,0.760820,0.010159,0.873653,0.010971,0.031188,0.012067,0.059921,0.022352,0.888588,0.012281,0.056629,0.021910,0.105551,0.038283,422.14,0.49
