dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time,combined_score
Houston,1;9,stressed grass;highway,15,0.61281,0.012404,0.558193,0.023442,0.579986,0.013581,0.802228,0.005602,0.82976,0.005876,0.786148,0.006058,0.822881,0.007475,0.697793,0.007082,0.755136,0.003359,0.850117,0.007607,0.697438,0.006974,0.766184,0.002561,413.46,0.49,1.52132
Houston,1;10,stressed grass;railway,15,0.60391,0.022358,0.545763,0.022708,0.570417,0.024395,0.771563,0.008075,0.804825,0.008132,0.752968,0.008733,0.842147,0.011199,0.416074,0.013474,0.556749,0.010773,0.865079,0.010362,0.413175,0.013405,0.559046,0.011351,421.7,0.49,1.115795
Houston,1;11,stressed grass;the first kind of parking lot,15,0.574282,0.008911,0.51673,0.019552,0.537799,0.009889,0.770946,0.008263,0.804395,0.007915,0.752318,0.008931,0.844323,0.009612,0.401016,0.009415,0.543689,0.009042,0.866971,0.008841,0.397649,0.009336,0.545153,0.009205,422.11,0.48,1.088842
Houston,1;12,stressed grass;the second kind of parking lot,15,0.602817,0.029303,0.543396,0.040977,0.569001,0.031906,0.81124,0.008659,0.799382,0.007257,0.795569,0.009367,0.840905,0.009989,0.582152,0.011504,0.687898,0.008091,0.860851,0.008568,0.399832,0.007901,0.545978,0.007223,422.39,0.49,1.233876
Houston,1;13,stressed grass;tennis court,15,0.591381,0.009205,0.528246,0.010888,0.556721,0.010017,0.808676,0.011857,0.790758,0.009422,0.792781,0.012824,0.837434,0.012186,0.580463,0.046864,0.684475,0.034542,0.852541,0.010381,0.389169,0.031419,0.53357,0.03064,422.06,0.48,1.218045
Houston,1;14,stressed grass;running track,15,0.568493,0.025866,0.487589,0.019425,0.531259,0.027937,0.797197,0.006791,0.796226,0.004853,0.780445,0.007352,0.837938,0.007495,0.518152,0.012735,0.640238,0.010093,0.857882,0.005538,0.395466,0.009719,0.541292,0.009121,422.31,0.49,1.18153
Houston,2;3,synthetic grass;trees,15,0.544793,0.018035,0.460918,0.023508,0.504384,0.019998,0.777295,0.005889,0.781539,0.004682,0.759003,0.006333,0.853673,0.009766,0.26229,0.072449,0.395732,0.078849,0.870291,0.008639,0.204657,0.05653,0.327441,0.069842,422.15,0.49,0.723173
Houston,2;4,synthetic grass;soil,15,0.532516,0.028871,0.464106,0.024159,0.492697,0.031555,0.803027,0.004772,0.803343,0.004959,0.786927,0.005134,0.849513,0.008014,0.489191,0.017962,0.620557,0.012407,0.868175,0.007305,0.381934,0.014023,0.530275,0.012449,422.17,0.5,1.150832
Houston,2;5,synthetic grass;water,15,0.604751,0.053444,0.514124,0.053145,0.569891,0.058419,0.8141,0.008643,0.794833,0.007517,0.799366,0.009353,0.860045,0.010341,0.184124,0.02649,0.302326,0.034234,0.87251,0.010656,0.289935,0.041713,0.433447,0.043883,422.1,0.48,0.735773
Houston,2;6,synthetic grass;residential buildings,15,0.550357,0.019475,0.471348,0.020313,0.510861,0.021375,0.789881,0.008998,0.793028,0.007402,0.772654,0.009719,0.877249,0.010192,0.20911,0.024836,0.33694,0.033041,0.890102,0.007936,0.162043,0.019246,0.273663,0.028034,422.18,0.48,0.610603
Houston,2;7,synthetic grass;commercial buildings,15,0.562355,0.023757,0.484698,0.03439,0.523913,0.02628,0.800799,0.004614,0.801388,0.00481,0.784491,0.004985,0.845932,0.00499,0.496473,0.004286,0.625707,0.00419,0.865082,0.00545,0.387384,0.003344,0.535123,0.003507,421.87,0.49,1.16083
Houston,2;9,synthetic grass;highway,15,0.626503,0.032236,0.541031,0.03546,0.59366,0.035116,0.793567,0.00763,0.795446,0.005632,0.776673,0.008219,0.847722,0.008503,0.42474,0.002681,0.565921,0.003842,0.866554,0.006274,0.333243,0.001843,0.481368,0.002746,422.36,0.48,1.0472890000000001
Houston,2;10,synthetic grass;railway,15,0.605774,0.03449,0.520736,0.036557,0.571007,0.037702,0.808858,0.013769,0.810525,0.017474,0.793432,0.014904,0.863144,0.00654,0.440981,0.073269,0.580585,0.060817,0.878987,0.006503,0.365525,0.098317,0.509643,0.089533,421.8,0.49,1.090228
Houston,2;14,synthetic grass;running track,15,0.581233,0.025382,0.474751,0.011637,0.543604,0.027373,0.828255,0.008434,0.823481,0.008121,0.81437,0.009119,0.86283,0.009005,0.480062,0.003306,0.61689,0.004783,0.874254,0.008911,0.493461,0.003398,0.630844,0.004931,422.04,0.49,1.247734
Houston,3;4,trees;soil,15,0.515123,0.032744,0.478165,0.036987,0.475317,0.035642,0.746475,0.00828,0.784947,0.008688,0.725894,0.008954,0.854274,0.007446,0.202458,0.041456,0.325242,0.052459,0.874587,0.006688,0.202286,0.041421,0.326566,0.053126,422.34,0.49,0.6518079999999999
Houston,3;5,trees;water,15,0.564513,0.035427,0.512669,0.039562,0.527343,0.038901,0.801668,0.015412,0.783609,0.013576,0.785407,0.016671,0.858806,0.011493,0.311216,0.085497,0.450697,0.087423,0.873981,0.01078,0.19619,0.053897,0.317082,0.069172,421.96,0.49,0.767779
Houston,3;6,trees;residential buildings,15,0.51644,0.036746,0.474206,0.04508,0.475865,0.039939,0.774786,0.011401,0.808009,0.009866,0.756521,0.012302,0.881077,0.010345,0.245115,0.042779,0.381606,0.051163,0.89451,0.008617,0.245752,0.043187,0.383639,0.051982,422.03,0.49,0.765245
Houston,3;7,trees;commercial buildings,15,0.554478,0.039067,0.517966,0.047102,0.517252,0.042635,0.760617,0.005667,0.796203,0.006582,0.741204,0.006141,0.856466,0.006673,0.277392,0.021509,0.418557,0.024591,0.87602,0.00619,0.277392,0.021509,0.420906,0.025202,413.47,0.49,0.8394630000000001
Houston,3;8,trees;road,15,0.537449,0.037158,0.497317,0.05422,0.498208,0.04048,0.766041,0.009686,0.800356,0.008538,0.747061,0.010452,0.880134,0.00935,0.193165,0.03028,0.315658,0.040789,0.893669,0.007189,0.193819,0.030383,0.317439,0.041216,428.96,0.5,0.633097
Houston,3;9,trees;highway,15,0.531002,0.041863,0.458521,0.050603,0.490305,0.045911,0.784429,0.00691,0.815575,0.006562,0.766934,0.007455,0.843962,0.006318,0.481841,0.044257,0.612196,0.03404,0.866727,0.006574,0.483084,0.043971,0.619162,0.034609,422.24,0.49,1.231358
Houston,3;12,trees;the second kind of parking lot,15,0.58953,0.028078,0.527155,0.026531,0.554438,0.030486,0.795417,0.005224,0.78696,0.005485,0.778464,0.005653,0.859475,0.005149,0.297294,0.074497,0.436641,0.075566,0.876545,0.004472,0.204657,0.051284,0.32873,0.063384,422.33,0.49,0.765371
Houston,3;13,trees;tennis court,15,0.567638,0.023686,0.51495,0.029969,0.531195,0.025865,0.791437,0.00965,0.777073,0.009926,0.774129,0.010454,0.855917,0.009207,0.276118,0.09157,0.408542,0.10846,0.868081,0.007952,0.185521,0.061525,0.30069,0.085464,422.32,0.49,0.7092320000000001
Houston,3;14,trees;running track,15,0.555964,0.02527,0.478905,0.030806,0.517003,0.027814,0.777407,0.014044,0.779808,0.012584,0.759039,0.015207,0.856411,0.008164,0.232854,0.077284,0.359955,0.089911,0.872357,0.007405,0.178239,0.059157,0.291779,0.07763,422.89,0.48,0.651734
Houston,4;5,soil;water,15,0.557533,0.024728,0.504223,0.026833,0.520889,0.027084,0.776118,0.002609,0.791725,0.004639,0.759456,0.002776,0.852773,0.004231,0.117149,0.018291,0.205448,0.027539,0.870022,0.004798,0.282792,0.044153,0.424909,0.047745,422.52,0.49,0.630357
Houston,4;7,soil;commercial buildings,15,0.513777,0.020363,0.468334,0.0175,0.473967,0.021849,0.761556,0.005417,0.796605,0.005556,0.742218,0.005859,0.835197,0.006315,0.389915,0.002065,0.531629,0.002697,0.859224,0.006311,0.389585,0.002064,0.536089,0.002594,420.31,0.49,1.0677180000000002
Houston,4;8,soil;road,15,0.519594,0.043743,0.473218,0.046037,0.480487,0.047338,0.791773,0.008133,0.821389,0.006222,0.77494,0.008714,0.873063,0.011754,0.383193,0.018082,0.532253,0.015856,0.888571,0.008441,0.384705,0.018099,0.536625,0.016557,422.55,0.49,1.068878
Houston,4;9,soil;highway,15,0.56007,0.0272,0.514921,0.028347,0.524035,0.029223,0.751605,0.002816,0.788868,0.004312,0.731523,0.003021,0.834345,0.003122,0.330631,0.002337,0.473586,0.002679,0.85906,0.004826,0.332618,0.002351,0.479552,0.002821,422.79,0.48,0.953138
Houston,4;10,soil;railway,15,0.551521,0.023725,0.504031,0.023048,0.514939,0.025241,0.781626,0.005354,0.81282,0.004763,0.764107,0.005803,0.856637,0.005788,0.401531,0.008753,0.546719,0.008493,0.876237,0.005151,0.400614,0.008736,0.549785,0.008455,423.05,0.49,1.096504
Houston,4;11,soil;the first kind of parking lot,15,0.551451,0.029061,0.51208,0.037106,0.514157,0.032115,0.776987,0.00627,0.808258,0.007604,0.759029,0.00679,0.854849,0.007307,0.382043,0.01369,0.527919,0.012955,0.874029,0.008247,0.380746,0.013643,0.530283,0.013476,422.66,0.49,1.058202
Houston,4;12,soil;the second kind of parking lot,15,0.568493,0.019844,0.504323,0.020994,0.532643,0.021493,0.817701,0.004135,0.804739,0.003806,0.802629,0.004456,0.852633,0.005105,0.54569,0.019598,0.665238,0.013763,0.870725,0.004727,0.375827,0.013497,0.524875,0.012706,422.54,0.49,1.190113
Houston,4;14,soil;running track,15,0.543097,0.021751,0.461866,0.017992,0.503163,0.023493,0.802551,0.00633,0.79998,0.005747,0.786333,0.006781,0.848091,0.008016,0.488261,0.010943,0.619613,0.007739,0.865522,0.00688,0.373961,0.008381,0.522195,0.007854,422.92,0.49,1.141808
Houston,5;6,water;residential buildings,15,0.572179,0.030533,0.514532,0.028564,0.535958,0.032814,0.806055,0.007024,0.787668,0.006671,0.790164,0.007598,0.872378,0.010093,0.246429,0.030162,0.383161,0.036198,0.885042,0.009335,0.154734,0.018939,0.262852,0.02727,422.62,0.49,0.646013
Houston,5;7,water;commercial buildings,15,0.584821,0.02237,0.523447,0.034265,0.549463,0.024735,0.821752,0.006032,0.800623,0.004937,0.807178,0.006509,0.84441,0.00683,0.627267,0.00272,0.7198,0.002544,0.862961,0.005836,0.395428,0.001715,0.542331,0.001378,421.71,0.49,1.2621310000000001
Houston,5;8,water;road,15,0.542817,0.02796,0.483364,0.027798,0.503901,0.030196,0.802214,0.00744,0.81052,0.007373,0.786802,0.007981,0.881093,0.009003,0.129192,0.013914,0.225016,0.021497,0.892799,0.008395,0.27571,0.021089,0.420847,0.024489,428.31,0.5,0.6458630000000001
Houston,5;9,water;highway,15,0.641023,0.027074,0.56704,0.024228,0.610308,0.029401,0.820631,0.006484,0.82643,0.00584,0.806776,0.006913,0.840744,0.007862,0.645893,0.018052,0.730355,0.0104,0.858345,0.007857,0.618982,0.043203,0.718308,0.026381,422.52,0.49,1.4486629999999998
Houston,5;10,water;railway,15,0.60541,0.040163,0.535781,0.043229,0.571571,0.044097,0.784359,0.007355,0.795222,0.006722,0.768051,0.007849,0.859348,0.007605,0.136799,0.013332,0.235776,0.019781,0.874589,0.006626,0.279335,0.020677,0.423014,0.023965,422.57,0.5,0.65879
Houston,5;11,water;the first kind of parking lot,15,0.615263,0.048587,0.553671,0.056842,0.582703,0.053234,0.784989,0.00752,0.796468,0.007209,0.76901,0.008008,0.862935,0.008209,0.110886,0.007219,0.196438,0.011349,0.878042,0.007568,0.266234,0.017333,0.408278,0.020427,422.59,0.49,0.604716
Houston,5;12,water;the second kind of parking lot,15,0.623938,0.042506,0.546846,0.04363,0.591463,0.046368,0.825536,0.006335,0.794153,0.006528,0.811785,0.006825,0.858726,0.006102,0.229748,0.014004,0.362318,0.017865,0.873124,0.0056,0.280844,0.017119,0.424732,0.020069,422.38,0.49,0.78705
Houston,5;13,water;tennis court,15,0.646966,0.044618,0.571143,0.050499,0.616599,0.048765,0.823868,0.007882,0.786915,0.007831,0.80975,0.008473,0.85388,0.008695,0.254062,0.033457,0.390364,0.038325,0.862674,0.00844,0.294481,0.038779,0.437608,0.041519,422.46,0.49,0.8279719999999999
Houston,5;14,water;running track,15,0.608942,0.03853,0.523813,0.043723,0.57495,0.041982,0.813413,0.006968,0.79194,0.006105,0.798885,0.007426,0.857188,0.008268,0.189091,0.028065,0.308775,0.036273,0.869622,0.007922,0.287013,0.042598,0.429746,0.045738,422.54,0.49,0.738521
